plan,carrier,metal,market,plan_year,hsa_qualified,deductible_single,deductible_family,oop_max_single,drug,drug_kind,dose,formulary_tier,formulary_flags,covered,thirty_day_price_basis_usd,price_basis,phase,member_pays_usd,how_calculated,cap_usd,member_pays_under_hf3652_usd,monthly_saving_usd,cap_note,plan_source,formulary_source,price_source
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,levetiracetam 500 mg tablet (generic),generic,500 mg twice daily,2,,yes,4.43,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"January, deductible not met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,levetiracetam 500 mg tablet (generic),generic,500 mg twice daily,2,,yes,4.43,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"mid-year, deductible met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,clobazam 10 mg tablet (generic),generic,10 mg twice daily,2,QL (4 per 1 day),yes,14.84,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"January, deductible not met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 29.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,clobazam 10 mg tablet (generic),generic,10 mg twice daily,2,QL (4 per 1 day),yes,14.84,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"mid-year, deductible met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 29.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,Onfi 10 mg tablet (brand clobazam),"brand, generic available",10 mg twice daily,NF,PA; QL (4 per 1 day),no,1794.87,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"January, deductible not met",1794.87,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,1794.87,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,Onfi 10 mg tablet (brand clobazam),"brand, generic available",10 mg twice daily,NF,PA; QL (4 per 1 day),no,1794.87,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"mid-year, deductible met",1794.87,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,1794.87,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,Xcopri 200 mg tablet (cenobamate),"brand, no generic exists",200 mg once daily,NF,PA; QL (2 per 1 day),no,1196.05,NADAC 2026Q3 median per unit x 1 tablet/day x 30 days,"January, deductible not met",1196.05,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,1196.05,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 36.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,Xcopri 200 mg tablet (cenobamate),"brand, no generic exists",200 mg once daily,NF,PA; QL (2 per 1 day),no,1196.05,NADAC 2026Q3 median per unit x 1 tablet/day x 30 days,"mid-year, deductible met",1196.05,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,1196.05,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 36.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,Epidiolex oral solution (cannabidiol),"brand, no generic exists","weight-based, one prescription",NF,PA; specialty; QL (20 per 1 day),no,3739.22,"Minnesota Medicaid 2025 reimbursement per prescription, $7,676,621.69 / 2,053 prescriptions. NOT NADAC: Epidiolex is outside the NADAC survey, which covers retail community pharmacies.","January, deductible not met",3739.22,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,3739.22,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 30.","data/mn_medicaid_asm_by_year.csv, CMS State Drug Utilization Data 2025"
"HealthPartners Peak $3,000 Silver",healthpartners,Silver,Minnesota individual,2026,no,3000.00,6000.00,10000.00,Epidiolex oral solution (cannabidiol),"brand, no generic exists","weight-based, one prescription",NF,PA; specialty; QL (20 per 1 day),no,3739.22,"Minnesota Medicaid 2025 reimbursement per prescription, $7,676,621.69 / 2,053 prescriptions. NOT NADAC: Epidiolex is outside the NADAC survey, which covers retail community pharmacies.","mid-year, deductible met",3739.22,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,3739.22,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE176-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie176.pdf. Deductible $3,000 individual / $6,000 family; out-of-pocket limit $10,000 / $20,000 in-network medical and pharmacy: p. 1. Drug rows, p. 3 of 9: ""Generic Low Cost: $5 copay/per prescription, Deductible does not apply at retail""; ""Generic High Cost: $25 copay/per prescription, Deductible does not apply at retail""; preferred brand 25% coinsurance; non-preferred brand 35%; specialty generic 40%; specialty brand 50%. Non-formulary drugs without a formulary exception are an excluded service: p. 6.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 30.","data/mn_medicaid_asm_by_year.csv, CMS State Drug Utilization Data 2025"
"HealthPartners Peak $1,300 Gold",healthpartners,Gold,Minnesota individual,2026,no,1300.00,2600.00,8600.00,levetiracetam 500 mg tablet (generic),generic,500 mg twice daily,2,,yes,4.43,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"January, deductible not met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE173-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie173.pdf. Deductible $1,300 / $2,600; out-of-pocket limit $8,600 / $17,200: p. 1. Drug rows, p. 3 of 9: generic low cost $5 and generic high cost $25, deductible does not apply; preferred brand 20% coinsurance; non-preferred brand 30%; specialty generic 40%; specialty brand 50%.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $1,300 Gold",healthpartners,Gold,Minnesota individual,2026,no,1300.00,2600.00,8600.00,levetiracetam 500 mg tablet (generic),generic,500 mg twice daily,2,,yes,4.43,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"mid-year, deductible met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE173-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie173.pdf. Deductible $1,300 / $2,600; out-of-pocket limit $8,600 / $17,200: p. 1. Drug rows, p. 3 of 9: generic low cost $5 and generic high cost $25, deductible does not apply; preferred brand 20% coinsurance; non-preferred brand 30%; specialty generic 40%; specialty brand 50%.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $1,300 Gold",healthpartners,Gold,Minnesota individual,2026,no,1300.00,2600.00,8600.00,clobazam 10 mg tablet (generic),generic,10 mg twice daily,2,QL (4 per 1 day),yes,14.84,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"January, deductible not met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE173-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie173.pdf. Deductible $1,300 / $2,600; out-of-pocket limit $8,600 / $17,200: p. 1. Drug rows, p. 3 of 9: generic low cost $5 and generic high cost $25, deductible does not apply; preferred brand 20% coinsurance; non-preferred brand 30%; specialty generic 40%; specialty brand 50%.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 29.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $1,300 Gold",healthpartners,Gold,Minnesota individual,2026,no,1300.00,2600.00,8600.00,clobazam 10 mg tablet (generic),generic,10 mg twice daily,2,QL (4 per 1 day),yes,14.84,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"mid-year, deductible met",25.00,copay $25.00,25.00,25.00,0.00,capped at $25,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE173-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie173.pdf. Deductible $1,300 / $2,600; out-of-pocket limit $8,600 / $17,200: p. 1. Drug rows, p. 3 of 9: generic low cost $5 and generic high cost $25, deductible does not apply; preferred brand 20% coinsurance; non-preferred brand 30%; specialty generic 40%; specialty brand 50%.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 29.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $1,300 Gold",healthpartners,Gold,Minnesota individual,2026,no,1300.00,2600.00,8600.00,Onfi 10 mg tablet (brand clobazam),"brand, generic available",10 mg twice daily,NF,PA; QL (4 per 1 day),no,1794.87,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"January, deductible not met",1794.87,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,1794.87,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE173-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie173.pdf. Deductible $1,300 / $2,600; out-of-pocket limit $8,600 / $17,200: p. 1. Drug rows, p. 3 of 9: generic low cost $5 and generic high cost $25, deductible does not apply; preferred brand 20% coinsurance; non-preferred brand 30%; specialty generic 40%; specialty brand 50%.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $1,300 Gold",healthpartners,Gold,Minnesota individual,2026,no,1300.00,2600.00,8600.00,Onfi 10 mg tablet (brand clobazam),"brand, generic available",10 mg twice daily,NF,PA; QL (4 per 1 day),no,1794.87,NADAC 2026Q3 median per unit x 2 tablets/day x 30 days,"mid-year, deductible met",1794.87,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,1794.87,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE173-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie173.pdf. Deductible $1,300 / $2,600; out-of-pocket limit $8,600 / $17,200: p. 1. Drug rows, p. 3 of 9: generic low cost $5 and generic high cost $25, deductible does not apply; preferred brand 20% coinsurance; non-preferred brand 30%; specialty generic 40%; specialty brand 50%.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 33.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
"HealthPartners Peak $1,300 Gold",healthpartners,Gold,Minnesota individual,2026,no,1300.00,2600.00,8600.00,Xcopri 200 mg tablet (cenobamate),"brand, no generic exists",200 mg once daily,NF,PA; QL (2 per 1 day),no,1196.05,NADAC 2026Q3 median per unit x 1 tablet/day x 30 days,"January, deductible not met",1196.05,"marked non-formulary, which the SBC lists as an excluded service: the member pays the whole price (NADAC floor)",25.00,1196.05,0.00,the cap does not reach this: a limit on cost sharing does not make an uncovered drug covered,"Summary of Benefits and Coverage, coverage period 01/01/2026-12/31/2026, doc PSBC-IE173-260101, https://www.healthpartners.com/content/dam/plan/sbc/hp/2026/ie173.pdf. Deductible $1,300 / $2,600; out-of-pocket limit $8,600 / $17,200: p. 1. Drug rows, p. 3 of 9: generic low cost $5 and generic high cost $25, deductible does not apply; preferred brand 20% coinsurance; non-preferred brand 30%; specialty generic 40%; specialty brand 50%.","HealthPartners, 2026 Formulary (List of covered drugs), Minnesota individual and small group, effective September 1, 2026, 195 pp., https://www.healthpartners.com/content/dam/plan/b2c/pharmacy/comm-2026-formulary-mn-sg-hsanonhsadeductiblecopaycopaycoinsurance-ind-offexchange.pdf Tier key: Seven tiers, named on PDF p. 3: 1 Low-Cost Generics, 2 High-Cost Generics, 3 Preferred Brands, 4 Non-Preferred Generics and Brands, 5 Specialty Generics, 6 Specialty Brands, 7 Oral Chemotherapy, NF Non-Formulary. This drug: PDF p. 36.","data/nadac_asm_30day_cost.csv, snapshot 2026-09-16"
