leaid,isd,district,county,city,enrollment,locale_code,locale,locale_cat,phone,county_disability_pct,county_cognitive_pct,county_uninsured_pct,isd_num
2713920,MN-010700,Hermantown Community Schools,St. Louis County,HERMANTOWN,2100,41,Rural-Fringe,Rural,(218)729-9313,30.8,13.7,6.8,700
2706240,MN-010286,Brooklyn Center Community Schools,Hennepin County,BROOKLYN CENTER,2099,21,Suburb-Large,Suburb,(763)450-3386,25.0,12.4,7.5,286
2703150,MN-010876,ANNANDALE PUBLIC SCHOOL DISTRICT,Wright County,ANNANDALE,2049,42,Rural-Distant,Rural,(320)274-5602,26.0,12.3,6.8,876
2710060,MN-010466,Dassel-Cokato Public Schools,Wright County,COKATO,2015,43,Rural-Remote,Rural,(320)286-4100,26.0,12.3,6.8,466
2738160,MN-010534,STEWARTVILLE PUBLIC SCHOOL DISTRICT,Olmsted County,STEWARTVILLE,2005,31,Town-Fringe,Town,(507)533-1438,24.9,11.4,6.7,534
2714280,MN-010294,HOUSTON PUBLIC SCHOOL DISTRICT,Houston County,HOUSTON,2000,42,Rural-Distant,Rural,(507)896-5323,28.5,12.2,6.8,294
2700008,MN-012142,ST. LOUIS COUNTY SCHOOL DISTRICT,St. Louis County,VIRGINIA,1947,42,Rural-Distant,Rural,(218)749-8130,30.8,13.7,6.8,2142
2711130,MN-010595,East Grand Forks Public Schools,Polk County,EAST GRAND FORKS,1942,23,Suburb-Small,Suburb,(218)793-2880,29.7,13.8,8.3,595
2712240,MN-010051,FOLEY PUBLIC SCHOOL DISTRICT,Benton County,FOLEY,1925,42,Rural-Distant,Rural,(320)968-7175,28.4,14.3,8.0,51
2700379,MN-012905,TRI-CITY UNITED SCHOOL DISTRICT,Le Sueur County,MONTGOMERY,1910,42,Rural-Distant,Rural,(507)364-8101,27.0,12.6,7.7,2905
2730090,MN-010704,PROCTOR PUBLIC SCHOOL DISTRICT,St. Louis County,PROCTOR,1871,22,Suburb-Mid,Suburb,(218)628-4934,30.8,13.7,6.8,704
2733420,MN-010282,ST. ANTHONY-NEW BRIGHTON SCHOOLS,Hennepin County,SAINT ANTHONY,1856,21,Suburb-Large,Suburb,(612)706-1000,25.0,12.4,7.5,282
2715750,MN-010717,JORDAN PUBLIC SCHOOL DISTRICT,Scott County,JORDAN,1826,31,Town-Fringe,Town,(952)492-6200,23.7,11.6,6.6,717
2700124,MN-012752,FAIRMONT AREA SCHOOL DISTRICT,Martin County,FAIRMONT,1818,33,Town-Remote,Town,(507)238-4234,31.8,13.4,8.4,2752
2738850,MN-010564,THIEF RIVER FALLS SCHOOL DISTRICT,Pennington County,THIEF RIVER FALLS,1811,33,Town-Remote,Town,(218)681-8711,30.7,13.9,7.9,564
2728200,MN-010186,PEQUOT LAKES PUBLIC SCHOOLS,Crow Wing County,PEQUOT LAKES,1807,43,Rural-Remote,Rural,(218)568-4996,30.7,12.6,7.0,186
2702930,MN-010745,ALBANY PUBLIC SCHOOL DISTRICT,Stearns County,ALBANY,1799,42,Rural-Distant,Rural,(320)845-2171,27.6,14.4,7.9,745
2741880,MN-010829,WASECA PUBLIC SCHOOL DISTRICT,Waseca County,WASECA,1735,32,Town-Distant,Town,(507)835-2500,30.7,14.0,8.9,829
2728230,MN-010549,PERHAM-DENT PUBLIC SCHOOL DISTRICT,Otter Tail County,PERHAM,1687,43,Rural-Remote,Rural,(218)346-4501,30.6,12.8,7.5,549
2728080,MN-010309,PARK RAPIDS PUBLIC SCHOOL DISTRICT,Hubbard County,PARK RAPIDS,1675,43,Rural-Remote,Rural,(218)237-6500,30.1,12.4,6.9,309
2721480,MN-010332,MORA PUBLIC SCHOOL DISTRICT,Kanabec County,MORA,1653,43,Rural-Remote,Rural,(320)679-6200,33.8,14.8,8.5,332
2720670,MN-010912,MILACA PUBLIC SCHOOL DISTRICT,Mille Lacs County,MILACA,1627,42,Rural-Distant,Rural,(320)982-7210,32.7,14.9,8.3,912
2728380,MN-010578,PINE CITY PUBLIC SCHOOL DISTRICT,Pine County,PINE CITY,1594,43,Rural-Remote,Rural,(320)629-4010,33.9,14.6,8.7,578
2710260,MN-012164,DILWORTH-GLYNDON-FELTON,Clay County,DILWORTH,1586,41,Rural-Fringe,Rural,(218)477-6934,27.4,13.9,7.2,2164
2732070,MN-010883,ROCKFORD PUBLIC SCHOOL DISTRICT,Wright County,ROCKFORD,1564,41,Rural-Fringe,Rural,(763)477-9165,26.0,12.3,6.8,883
2718210,MN-010465,LITCHFIELD PUBLIC SCHOOL DISTRICT,Meeker County,LITCHFIELD,1562,32,Town-Distant,Town,(320)693-2444,29.1,13.4,7.8,465
2723400,MN-010345,NEW LONDON-SPICER SCHOOL DISTRICT,Kandiyohi County,NEW LONDON,1549,33,Town-Remote,Town,(320)354-1401,30.0,13.5,10.0,345
2704050,MN-010716,BELLE PLAINE PUBLIC SCHOOL DISTRICT,Scott County,BELLE PLAINE,1541,32,Town-Distant,Town,(952)873-2400,23.7,11.6,6.6,716
2728950,MN-010255,Pine Island Public School District,Goodhue County,PINE ISLAND,1538,42,Rural-Distant,Rural,(507)356-4849,28.6,12.9,7.7,255
2700287,MN-012899,PLAINVIEW-ELGIN-MILLVILLE,Wabasha County,PLAINVIEW,1466,42,Rural-Distant,Rural,(507)534-3651,28.5,12.3,7.0,2899
2741910,MN-010111,Watertown-Mayer Public School Dist,Carver County,WATERTOWN,1465,42,Rural-Distant,Rural,(952)955-0480,23.3,10.6,5.8,111
2730510,MN-010038,RED LAKE PUBLIC SCHOOL DISTRICT,Beltrami County,RED LAKE,1441,43,Rural-Remote,Rural,(218)679-3353,32.7,15.7,8.2,38
2700128,MN-012859,GLENCOE-SILVER LAKE SCHOOL DISTRICT,McLeod County,GLENCOE,1433,32,Town-Distant,Town,(320)864-2491,29.3,13.5,8.3,2859
2721320,MN-010129,MONTEVIDEO PUBLIC SCHOOL DISTRICT,Chippewa County,MONTEVIDEO,1396,33,Town-Remote,Town,(320)269-8833,32.6,14.3,9.9,129
2700019,MN-012149,MINNEWASKA SCHOOL DISTRICT,Pope County,GLENWOOD,1345,41,Rural-Fringe,Rural,(320)239-4820,30.1,12.8,7.2,2149
2700123,MN-012687,HOWARD LAKE-WAVERLY-WINSTED,Wright County,HOWARD LAKE,1310,42,Rural-Distant,Rural,(320)543-4646,26.0,12.3,6.8,2687
2740740,MN-010381,LAKE SUPERIOR PUBLIC SCHOOL DIST.,Lake County,TWO HARBORS,1300,42,Rural-Distant,Rural,(218)834-8201,32.4,12.8,7.2,381
2738880,MN-010099,ESKO PUBLIC SCHOOL DISTRICT,Carlton County,ESKO,1296,31,Town-Fringe,Town,(218)879-2969,31.0,13.9,8.0,99
2728350,MN-010116,PILLAGER PUBLIC SCHOOL DISTRICT,Cass County,PILLAGER,1291,42,Rural-Distant,Rural,(218)746-2100,34.1,13.3,7.4,116
2720550,MN-010740,MELROSE PUBLIC SCHOOL DISTRICT,Stearns County,MELROSE,1266,42,Rural-Distant,Rural,(320)256-5160,27.6,14.4,7.9,740
2728320,MN-010484,PIERZ PUBLIC SCHOOL DISTRICT,Morrison County,PIERZ,1245,42,Rural-Distant,Rural,(320)468-6458,30.1,13.7,7.7,484
2745735,MN-012805,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,Goodhue County,ZUMBROTA,1224,42,Rural-Distant,Rural,(507)732-1400,28.6,12.9,7.7,2805
2717520,MN-010813,LAKE CITY PUBLIC SCHOOL DISTRICT,Wabasha County,LAKE CITY,1182,32,Town-Distant,Town,(651)345-2198,28.5,12.3,7.0,813
2709720,MN-010593,CROOKSTON PUBLIC SCHOOL DISTRICT,Polk County,CROOKSTON,1162,32,Town-Distant,Town,(218)281-5313,29.7,13.8,8.3,593
2718330,MN-012184,LUVERNE PUBLIC SCHOOL DISTRICT,Rock County,LUVERNE,1155,41,Rural-Fringe,Rural,(507)283-8088,30.8,13.6,8.0,2184
2733600,MN-010840,ST. JAMES PUBLIC SCHOOL DISTRICT,Watonwan County,SAINT JAMES,1150,43,Rural-Remote,Rural,(507)375-5974,33.0,14.2,13.4,840
2742780,MN-010177,WINDOM PUBLIC SCHOOL DISTRICT,Cottonwood County,WINDOM,1150,43,Rural-Remote,Rural,(507)831-6901,32.9,14.2,10.2,177
2700182,MN-012897,REDWOOD AREA SCHOOL DISTRICT,Redwood County,REDWOOD FALLS,1132,33,Town-Remote,Town,(507)644-3531,31.7,14.3,8.5,2897
2732850,MN-010743,SAUK CENTRE PUBLIC SCHOOL DISTRICT,Stearns County,SAUK CENTRE,1130,32,Town-Distant,Town,(320)352-2258,27.6,14.4,7.9,743
2732250,MN-010682,ROSEAU PUBLIC SCHOOL DISTRICT,Roseau County,ROSEAU,1120,43,Rural-Remote,Rural,(218)463-1471,30.7,13.8,7.8,682
2700022,MN-012155,WADENA-DEER CREEK SCHOOL DISTRICT,Wadena County,WADENA,1112,33,Town-Remote,Town,(218)632-2155,34.4,15.1,8.8,2155
2708070,MN-010115,CASS LAKE-BENA PUBLIC SCHOOLS,Cass County,CASS LAKE,1112,43,Rural-Remote,Rural,(218)335-2204,34.1,13.3,7.4,115
2700231,MN-012895,JACKSON COUNTY CENTRAL SCHOOL DIST.,Jackson County,JACKSON,1104,43,Rural-Remote,Rural,(507)847-3608,30.5,12.7,7.7,2895
2700383,MN-012769,MORRIS AREA PUBLIC SCHOOLS,Stevens County,MORRIS,1096,41,Rural-Fringe,Rural,(320)589-4840,29.5,14.5,9.7,2769
2700108,MN-012689,PIPESTONE AREA SCHOOL DISTRICT,Pipestone County,PIPESTONE,1087,43,Rural-Remote,Rural,(507)562-6068,32.6,14.3,9.1,2689
2714190,MN-010738,HOLDINGFORD PUBLIC SCHOOL DISTRICT,Stearns County,HOLDINGFORD,1077,42,Rural-Distant,Rural,(320)746-2196,27.6,14.4,7.9,738
2700130,MN-012860,Blue Earth Area School District,Faribault County,BLUE EARTH,1075,43,Rural-Remote,Rural,(507)526-3188,34.3,14.3,9.3,2860
2700102,MN-012310,SIBLEY EAST SCHOOL DISTRICT,Sibley County,ARLINGTON,1067,42,Rural-Distant,Rural,(507)964-2292,30.4,13.9,9.0,2310
2711010,MN-010533,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,Olmsted County,EYOTA,1063,42,Rural-Distant,Rural,(507)545-2125,24.9,11.4,6.7,533
2713560,MN-010150,HAWLEY PUBLIC SCHOOL DISTRICT,Clay County,HAWLEY,1062,42,Rural-Distant,Rural,(218)483-4647,27.4,13.9,7.2,150
2741850,MN-010690,WARROAD PUBLIC SCHOOL DISTRICT,Roseau County,WARROAD,1053,43,Rural-Remote,Rural,(218)386-1472,30.7,13.8,7.8,690
2707500,MN-010252,CANNON FALLS PUBLIC SCHOOL DISTRICT,Goodhue County,CANNON FALLS,1044,42,Rural-Distant,Rural,(507)263-6800,28.6,12.9,7.7,252
2709480,MN-010316,GREENWAY PUBLIC SCHOOL DISTRICT,Itasca County,COLERAINE,1032,42,Rural-Distant,Rural,(218)245-6501,32.7,13.3,7.1,316
2717250,MN-010300,LA CRESCENT-HOKAH SCHOOL DISTRICT,Houston County,LA CRESCENT,1020,23,Suburb-Small,Suburb,(507)895-4484,28.5,12.2,6.8,300
2702760,MN-010001,AITKIN PUBLIC SCHOOL DISTRICT,Aitkin County,AITKIN,995,43,Rural-Remote,Rural,(218)927-2115,34.7,13.3,7.4,1
2709750,MN-010182,CROSBY-IRONTON PUBLIC SCHOOL DIST.,Crow Wing County,CROSBY,991,43,Rural-Remote,Rural,(218)545-8801,30.7,12.6,7.0,182
2700109,MN-012753,Long Prairie-Grey Eagle School Dist,Todd County,LONG PRAIRIE,984,43,Rural-Remote,Rural,(320)732-2194,34.5,14.7,10.4,2753
2733450,MN-010858,ST. CHARLES PUBLIC SCHOOL DISTRICT,Winona County,SAINT CHARLES,968,42,Rural-Distant,Rural,(507)932-4420,29.1,14.1,7.3,858
2741060,MN-010811,Wabasha-Kellogg School District,Wabasha County,WABASHA,966,21,Suburb-Large,Suburb,(651)565-3559,28.5,12.3,7.0,811
2791445,MN-012071,LAKE CRYSTAL-WELLCOME MEMORIAL,Blue Earth County,LAKE CRYSTAL,961,42,Rural-Distant,Rural,(507)726-2323,28.8,15.3,7.9,2071
2714070,MN-012165,HINCKLEY-FINLAYSON SCHOOL DISTRICT,Pine County,HINCKLEY,946,43,Rural-Remote,Rural,(320)384-6277,33.9,14.6,8.7,2165
2720580,MN-010821,MENAHGA PUBLIC SCHOOL DISTRICT,Wadena County,MENAHGA,945,43,Rural-Remote,Rural,(218)564-4141,34.4,15.1,8.8,821
2700006,MN-012135,MAPLE RIVER SCHOOL DISTRICT,Blue Earth County,MAPLETON,944,42,Rural-Distant,Rural,(507)524-3915,28.8,15.3,7.9,2135
2723910,MN-010108,CENTRAL PUBLIC SCHOOL DISTRICT,Carver County,NORWOOD YOUNG AMERICA,943,42,Rural-Distant,Rural,(952)467-7000,23.3,10.6,5.8,108
2732520,MN-010485,ROYALTON PUBLIC SCHOOL DISTRICT,Morrison County,ROYALTON,937,42,Rural-Distant,Rural,(320)584-4250,30.1,13.7,7.7,485
